==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=19
date & time of start is : 2023-06-04 08:35:49
torch version is: 1.8.0+cu111
number of GPUs: 2
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 4.537 M
   training starts!
[Epc 1] tt: 0.841, cl_st: 0.529, cl_wk: 0.624, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.237, t_vl: 0.309, t: 67s
[Epc 2] tt: 0.548, cl_st: 0.318, cl_wk: 0.459, cn_st: 0.029, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.210, t: 67s
[Epc 3] tt: 0.440, cl_st: 0.241, cl_wk: 0.393, cn_st: 0.043, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.104, t: 67s
[Epc 4] tt: 0.427, cl_st: 0.232, cl_wk: 0.386, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.072, t: 67s
[Epc 5] tt: 0.413, cl_st: 0.223, cl_wk: 0.379, cn_st: 0.017, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.034, t: 67s
[Epc 6] tt: 0.411, cl_st: 0.225, cl_wk: 0.369, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.013, t_vl: 0.033, t: 67s
[Epc 7] tt: 0.405, cl_st: 0.220, cl_wk: 0.369, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.028, t_vl: 0.023, t: 67s
[Epc 8] tt: 0.396, cl_st: 0.214, cl_wk: 0.362, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.198, t_vl: 0.024, t: 67s
[Epc 9] tt: 0.387, cl_st: 0.207, cl_wk: 0.356, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.232, t_vl: 0.030, t: 67s
[Epc 10] tt: 0.383, cl_st: 0.206, cl_wk: 0.351, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.289, t_vl: 0.015, t: 67s
[Epc 11] tt: 0.376, cl_st: 0.206, cl_wk: 0.336, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.337, t_vl: 0.019, t: 68s
[Epc 12] tt: 0.364, cl_st: 0.198, cl_wk: 0.327, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.344, t_vl: 0.056, t: 67s
[Epc 13] tt: 0.349, cl_st: 0.188, cl_wk: 0.317, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.422, t_vl: 0.097, t: 67s
[Epc 14] tt: 0.346, cl_st: 0.193, cl_wk: 0.300, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.497, t_vl: 0.141, t: 67s
