==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=11
date & time of start is : 2023-06-03 05:36:47
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 4.439 M
   training starts!
[Epc 1] tt: 0.844, cl_st: 0.533, cl_wk: 0.622, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.319, t_vl: 0.312, t: 64s
[Epc 2] tt: 0.562, cl_st: 0.331, cl_wk: 0.459, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.005, t_vl: 0.272, t: 64s
[Epc 3] tt: 0.437, cl_st: 0.241, cl_wk: 0.388, cn_st: 0.044, cn_wk: 0.000, st_vl: 0.002, t_vl: 0.153, t: 65s
[Epc 4] tt: 0.427, cl_st: 0.233, cl_wk: 0.385, cn_st: 0.028, cn_wk: 0.000, st_vl: 0.002, t_vl: 0.103, t: 65s
[Epc 5] tt: 0.420, cl_st: 0.230, cl_wk: 0.379, cn_st: 0.018, cn_wk: 0.000, st_vl: 0.029, t_vl: 0.080, t: 66s
[Epc 6] tt: 0.407, cl_st: 0.220, cl_wk: 0.372, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.078, t_vl: 0.088, t: 65s
[Epc 7] tt: 0.400, cl_st: 0.216, cl_wk: 0.367, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.127, t_vl: 0.070, t: 65s
[Epc 8] tt: 0.389, cl_st: 0.210, cl_wk: 0.357, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.187, t_vl: 0.086, t: 65s
[Epc 9] tt: 0.387, cl_st: 0.211, cl_wk: 0.350, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.275, t_vl: 0.071, t: 65s
[Epc 10] tt: 0.374, cl_st: 0.202, cl_wk: 0.340, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.289, t_vl: 0.091, t: 65s
[Epc 11] tt: 0.368, cl_st: 0.203, cl_wk: 0.328, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.287, t_vl: 0.103, t: 65s
[Epc 12] tt: 0.358, cl_st: 0.198, cl_wk: 0.315, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.425, t_vl: 0.105, t: 65s
[Epc 13] tt: 0.348, cl_st: 0.190, cl_wk: 0.309, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.340, t_vl: 0.126, t: 65s
[Epc 14] tt: 0.337, cl_st: 0.188, cl_wk: 0.290, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.520, t_vl: 0.196, t: 65s
[Epc 15] tt: 0.329, cl_st: 0.186, cl_wk: 0.276, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.612, t_vl: 0.234, t: 65s
[Epc 16] tt: 0.315, cl_st: 0.177, cl_wk: 0.266, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.633, t_vl: 0.286, t: 65s
[Epc 17] tt: 0.315, cl_st: 0.182, cl_wk: 0.254, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.573, t_vl: 0.274, t: 65s
[Epc 18] tt: 0.309, cl_st: 0.179, cl_wk: 0.247, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.665, t_vl: 0.350, t: 65s
[Epc 19] tt: 0.303, cl_st: 0.173, cl_wk: 0.245, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.646, t_vl: 0.441, t: 65s
[Epc 20] tt: 0.300, cl_st: 0.172, cl_wk: 0.240, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.713, t_vl: 0.475, t: 65s
[Epc 21] tt: 0.292, cl_st: 0.167, cl_wk: 0.234, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.784, t_vl: 0.484, t: 65s
[Epc 22] tt: 0.298, cl_st: 0.169, cl_wk: 0.241, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.793, t_vl: 0.504, t: 65s
[Epc 23] tt: 0.284, cl_st: 0.163, cl_wk: 0.224, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.834, t_vl: 0.558, t: 65s
[Epc 24] tt: 0.281, cl_st: 0.164, cl_wk: 0.214, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.924, t_vl: 0.627, t: 65s
[Epc 25] tt: 0.274, cl_st: 0.160, cl_wk: 0.208, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.859, t_vl: 0.681, t: 65s
[Epc 26] tt: 0.277, cl_st: 0.158, cl_wk: 0.217, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.880, t_vl: 0.746, t: 65s
[Epc 27] tt: 0.265, cl_st: 0.156, cl_wk: 0.196, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.981, t_vl: 0.762, t: 65s
[Epc 28] tt: 0.270, cl_st: 0.154, cl_wk: 0.207, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.933, t_vl: 0.801, t: 65s
[Epc 29] tt: 0.262, cl_st: 0.152, cl_wk: 0.194, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.848, t_vl: 0.771, t: 65s
[Epc 30] tt: 0.256, cl_st: 0.145, cl_wk: 0.196, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.980, t_vl: 0.862, t: 65s
[Epc 31] tt: 0.254, cl_st: 0.143, cl_wk: 0.192, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.977, t_vl: 0.893, t: 65s
[Epc 32] tt: 0.261, cl_st: 0.148, cl_wk: 0.196, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.024, t_vl: 0.958, t: 65s
[Epc 33] tt: 0.254, cl_st: 0.144, cl_wk: 0.187, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.004, t_vl: 0.990, t: 65s
[Epc 34] tt: 0.249, cl_st: 0.141, cl_wk: 0.182, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.094, t_vl: 0.995, t: 65s
[Epc 35] tt: 0.258, cl_st: 0.147, cl_wk: 0.187, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.016, t_vl: 1.065, t: 65s
[Epc 36] tt: 0.250, cl_st: 0.143, cl_wk: 0.178, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.065, t_vl: 1.046, t: 65s
[Epc 37] tt: 0.248, cl_st: 0.141, cl_wk: 0.174, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.168, t_vl: 1.079, t: 65s
[Epc 38] tt: 0.247, cl_st: 0.142, cl_wk: 0.169, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.086, t_vl: 1.091, t: 65s
[Epc 39] tt: 0.238, cl_st: 0.141, cl_wk: 0.151, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.068, t_vl: 1.112, t: 65s
[Epc 40] tt: 0.249, cl_st: 0.136, cl_wk: 0.183, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.074, t_vl: 1.115, t: 65s
[Epc 41] tt: 0.240, cl_st: 0.135, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.004, t_vl: 1.123, t: 65s
[Epc 42] tt: 0.239, cl_st: 0.134, cl_wk: 0.163, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.084, t_vl: 1.178, t: 65s
[Epc 43] tt: 0.238, cl_st: 0.135, cl_wk: 0.157, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.100, t_vl: 1.201, t: 66s
[Epc 44] tt: 0.230, cl_st: 0.128, cl_wk: 0.155, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.090, t_vl: 1.208, t: 65s
[Epc 45] tt: 0.239, cl_st: 0.129, cl_wk: 0.169, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.168, t_vl: 1.178, t: 65s
[Epc 46] tt: 0.237, cl_st: 0.129, cl_wk: 0.165, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.248, t_vl: 1.257, t: 65s
[Epc 47] tt: 0.231, cl_st: 0.124, cl_wk: 0.161, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.197, t_vl: 1.254, t: 65s
[Epc 48] tt: 0.227, cl_st: 0.129, cl_wk: 0.143, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.250, t_vl: 1.267, t: 65s
[Epc 49] tt: 0.227, cl_st: 0.126, cl_wk: 0.152, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.182, t_vl: 1.252, t: 65s
[Epc 50] tt: 0.227, cl_st: 0.129, cl_wk: 0.144, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.196, t_vl: 1.221, t: 65s
[Epc 51] tt: 0.229, cl_st: 0.131, cl_wk: 0.143, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.173, t_vl: 1.260, t: 65s
[Epc 52] tt: 0.228, cl_st: 0.124, cl_wk: 0.157, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.246, t_vl: 1.198, t: 65s
[Epc 53] tt: 0.226, cl_st: 0.121, cl_wk: 0.157, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.252, t_vl: 1.217, t: 65s
[Epc 54] tt: 0.221, cl_st: 0.128, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.200, t_vl: 1.269, t: 65s
[Epc 55] tt: 0.215, cl_st: 0.120, cl_wk: 0.139, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.279, t_vl: 1.308, t: 65s
[Epc 56] tt: 0.212, cl_st: 0.118, cl_wk: 0.136, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.242, t_vl: 1.211, t: 65s
[Epc 57] tt: 0.207, cl_st: 0.116, cl_wk: 0.130, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.116, t_vl: 1.249, t: 65s
[Epc 58] tt: 0.215, cl_st: 0.122, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.250, t_vl: 1.286, t: 65s
[Epc 59] tt: 0.210, cl_st: 0.116, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.292, t_vl: 1.318, t: 66s
[Epc 60] tt: 0.219, cl_st: 0.120, cl_wk: 0.145, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.210, t_vl: 1.300, t: 65s
[Epc 61] tt: 0.210, cl_st: 0.117, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.283, t_vl: 1.329, t: 65s
