==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=12
date & time of start is : 2023-06-03 09:20:57
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 4.439 M
   training starts!
[Epc 38] tt: 0.250, cl_st: 0.143, cl_wk: 0.173, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.087, t_vl: 1.142, t: 65s
[Epc 39] tt: 0.234, cl_st: 0.138, cl_wk: 0.152, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.156, t_vl: 1.114, t: 66s
[Epc 40] tt: 0.248, cl_st: 0.135, cl_wk: 0.182, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.168, t_vl: 1.125, t: 65s
[Epc 41] tt: 0.238, cl_st: 0.133, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.030, t_vl: 1.113, t: 65s
[Epc 42] tt: 0.242, cl_st: 0.135, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.084, t_vl: 1.166, t: 65s
[Epc 43] tt: 0.237, cl_st: 0.134, cl_wk: 0.159, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.148, t_vl: 1.220, t: 65s
[Epc 44] tt: 0.228, cl_st: 0.127, cl_wk: 0.154, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.137, t_vl: 1.208, t: 65s
[Epc 45] tt: 0.238, cl_st: 0.129, cl_wk: 0.167, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.126, t_vl: 1.198, t: 66s
[Epc 46] tt: 0.237, cl_st: 0.129, cl_wk: 0.164, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.247, t_vl: 1.270, t: 65s
[Epc 47] tt: 0.232, cl_st: 0.125, cl_wk: 0.160, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.137, t_vl: 1.273, t: 65s
[Epc 48] tt: 0.227, cl_st: 0.129, cl_wk: 0.142, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.208, t_vl: 1.279, t: 65s
[Epc 49] tt: 0.226, cl_st: 0.125, cl_wk: 0.151, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.219, t_vl: 1.276, t: 66s
[Epc 50] tt: 0.228, cl_st: 0.131, cl_wk: 0.142, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.185, t_vl: 1.243, t: 65s
[Epc 51] tt: 0.227, cl_st: 0.129, cl_wk: 0.145, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.208, t_vl: 1.262, t: 66s
[Epc 52] tt: 0.228, cl_st: 0.122, cl_wk: 0.161, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.262, t_vl: 1.210, t: 65s
[Epc 53] tt: 0.227, cl_st: 0.123, cl_wk: 0.155, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.215, t_vl: 1.247, t: 66s
[Epc 54] tt: 0.220, cl_st: 0.127, cl_wk: 0.136, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.100, t_vl: 1.289, t: 65s
[Epc 55] tt: 0.218, cl_st: 0.122, cl_wk: 0.140, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.287, t_vl: 1.322, t: 65s
[Epc 56] tt: 0.215, cl_st: 0.121, cl_wk: 0.136, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.233, t_vl: 1.221, t: 65s
[Epc 57] tt: 0.207, cl_st: 0.117, cl_wk: 0.130, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.078, t_vl: 1.277, t: 66s
