==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=8
date & time of start is : 2023-06-09 19:52:20
torch version is: 1.8.0+cu111
number of GPUs: 2
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 4.548 M
   training starts!
[Epc 38] tt: 0.244, cl_st: 0.138, cl_wk: 0.173, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.025, t_vl: 1.167, t: 72s
[Epc 39] tt: 0.235, cl_st: 0.137, cl_wk: 0.152, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.064, t_vl: 1.175, t: 72s
[Epc 40] tt: 0.246, cl_st: 0.135, cl_wk: 0.179, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.189, t_vl: 1.190, t: 72s
[Epc 41] tt: 0.237, cl_st: 0.131, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.205, t_vl: 1.215, t: 72s
[Epc 42] tt: 0.234, cl_st: 0.131, cl_wk: 0.159, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.151, t_vl: 1.179, t: 72s
[Epc 43] tt: 0.237, cl_st: 0.136, cl_wk: 0.157, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.170, t_vl: 1.227, t: 72s
[Epc 44] tt: 0.234, cl_st: 0.127, cl_wk: 0.162, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.127, t_vl: 1.238, t: 72s
[Epc 45] tt: 0.237, cl_st: 0.129, cl_wk: 0.165, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.148, t_vl: 1.166, t: 72s
[Epc 46] tt: 0.235, cl_st: 0.128, cl_wk: 0.164, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.206, t_vl: 1.254, t: 72s
[Epc 47] tt: 0.226, cl_st: 0.121, cl_wk: 0.160, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.078, t_vl: 1.180, t: 72s
[Epc 48] tt: 0.216, cl_st: 0.122, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.212, t_vl: 1.274, t: 72s
[Epc 49] tt: 0.224, cl_st: 0.120, cl_wk: 0.156, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.233, t_vl: 1.276, t: 72s
[Epc 50] tt: 0.221, cl_st: 0.125, cl_wk: 0.141, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.116, t_vl: 1.232, t: 72s
[Epc 51] tt: 0.221, cl_st: 0.123, cl_wk: 0.146, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.244, t_vl: 1.294, t: 72s
[Epc 52] tt: 0.233, cl_st: 0.127, cl_wk: 0.165, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.256, t_vl: 1.260, t: 72s
[Epc 53] tt: 0.224, cl_st: 0.125, cl_wk: 0.150, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.257, t_vl: 1.311, t: 72s
[Epc 54] tt: 0.213, cl_st: 0.120, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.311, t_vl: 1.305, t: 72s
[Epc 55] tt: 0.214, cl_st: 0.121, cl_wk: 0.140, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.279, t_vl: 1.336, t: 72s
[Epc 56] tt: 0.211, cl_st: 0.117, cl_wk: 0.136, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.277, t_vl: 1.315, t: 72s
[Epc 57] tt: 0.203, cl_st: 0.116, cl_wk: 0.125, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.243, t_vl: 1.304, t: 72s
[Epc 58] tt: 0.213, cl_st: 0.120, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.159, t_vl: 1.303, t: 72s
[Epc 59] tt: 0.212, cl_st: 0.117, cl_wk: 0.139, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.293, t_vl: 1.284, t: 72s
[Epc 60] tt: 0.216, cl_st: 0.117, cl_wk: 0.147, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.334, t_vl: 1.346, t: 72s
[Epc 61] tt: 0.196, cl_st: 0.110, cl_wk: 0.125, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.317, t_vl: 1.324, t: 72s
[Epc 62] tt: 0.201, cl_st: 0.112, cl_wk: 0.130, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.272, t_vl: 1.293, t: 72s
[Epc 63] tt: 0.199, cl_st: 0.109, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.219, t_vl: 1.284, t: 72s
[Epc 64] tt: 0.197, cl_st: 0.115, cl_wk: 0.115, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.299, t_vl: 1.349, t: 72s
[Epc 65] tt: 0.196, cl_st: 0.113, cl_wk: 0.112, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.344, t_vl: 1.359, t: 72s
[Epc 66] tt: 0.202, cl_st: 0.112, cl_wk: 0.130, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.339, t_vl: 1.344, t: 72s
[Epc 67] tt: 0.209, cl_st: 0.116, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.328, t_vl: 1.356, t: 72s
